model,comparison,baseline_stage,candidate_stage,page_key,paired_words,baseline_cer,candidate_cer,cer_delta,baseline_wer,candidate_wer,wer_delta,baseline_exact_match,candidate_exact_match,exact_match_delta,baseline_missing_output,candidate_missing_output,missing_output_delta,baseline_runtime,candidate_runtime,runtime_delta
tesseract,raw_to_run_1,raw,run_1,val_10_386,24,0.8701298701298701,0.7619047619047619,-0.10822510822510822,1.0,1.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.375,-0.4166666666666667,21.51789474103134,15.99568012500822,-5.5222146160231205
tesseract,raw_to_run_1,raw,run_1,val_10_469,24,0.9214876033057852,0.8512396694214877,-0.07024793388429751,1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.5833333333333334,-0.2916666666666667,21.52904802003468,14.792570688019623,-6.736477332015056
tesseract,raw_to_run_1,raw,run_1,val_10_480,24,0.991304347826087,0.8565217391304348,-0.13478260869565217,1.0,1.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.625,-0.3333333333333333,21.944395306971273,14.473747741023544,-7.470647565947729
tesseract,raw_to_run_1,raw,run_1,val_10_53,25,0.8908296943231441,0.9563318777292577,0.06550218340611358,1.0,1.0,0.0,0.0,0.0,0.0,0.84,0.84,0.0,21.646434927009977,15.876743816072121,-5.769691110937856
tesseract,raw_to_run_1,raw,run_1,val_10_89,23,0.8660287081339713,0.9282296650717703,0.062200956937799035,1.0,1.0,0.0,0.0,0.0,0.0,0.782608695652174,0.7391304347826086,-0.043478260869565216,20.161641359954956,13.929831715940963,-6.2318096440139925
tesseract,raw_to_run_1,raw,run_1,val_4_149,24,1.0,0.7393364928909952,-0.26066350710900477,1.0,1.5,0.5,0.0,0.0,0.0,1.0,0.16666666666666666,-0.8333333333333334,20.33213570099906,14.650203001016052,-5.681932699983008
tesseract,raw_to_run_1,raw,run_1,val_4_155,24,1.0,0.648068669527897,-0.351931330472103,1.0,1.4166666666666667,0.41666666666666674,0.0,0.0,0.0,1.0,0.16666666666666666,-0.8333333333333334,20.669737277028617,15.01584509802342,-5.653892179005197
tesseract,raw_to_run_1,raw,run_1,val_4_189,21,0.6751269035532995,0.7055837563451777,0.030456852791878153,0.9523809523809523,2.1904761904761907,1.2380952380952384,0.0,0.0,0.0,0.5238095238095238,0.0,-0.5238095238095238,18.325998073007213,12.867405730037717,-5.458592342969496
tesseract,raw_to_run_1,raw,run_1,val_4_206,25,0.8028169014084507,0.6384976525821596,-0.16431924882629112,0.96,1.72,0.76,0.0,0.0,0.0,0.76,0.08,-0.68,21.001630364029552,15.627541302004829,-5.374089062024723
tesseract,raw_to_run_1,raw,run_1,val_4_219,22,0.9016393442622951,0.6639344262295082,-0.23770491803278693,0.9545454545454546,2.090909090909091,1.1363636363636362,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,-0.8181818181818182,20.052736238008947,13.88290546204371,-6.169830775965238
