configuration,reference_character,hypothesis_character,count
tesseract/raw,ల, ,2
tesseract/raw,ె,క,2
tesseract/raw,వ,న,2
tesseract/raw,ు,న,2
tesseract/raw,చ,జ,2
tesseract/raw,ే,ర,2
tesseract/raw,మ,క,2
tesseract/raw,ర,త,2
tesseract/raw,ప,్,2
tesseract/raw,ి,క,2
tesseract/raw,ి,శ,2
tesseract/raw,క,డ,2
tesseract/raw,్,ర,2
tesseract/raw,ట,ు,2
tesseract/raw,ద,య,2
tesseract/raw,జ,మ,2
tesseract/raw,ే,ు,2
tesseract/processed,త,ట,2
tesseract/processed,ల,ే,2
tesseract/processed,థ,ు,2
tesseract/processed,ం,న,2
tesseract/processed,ే,ల,2
tesseract/processed,ీ,బ,2
tesseract/processed,ు,ఖ,2
tesseract/processed,ం,స,2
tesseract/processed,క,డ,2
tesseract/processed,క,వ,2
tesseract/processed,ి,శ,2
tesseract/processed,ప,ే,2
tesseract/processed,త,ా,2
tesseract/processed,ద,బ,2
tesseract/processed,త,ద,2
tesseract/processed,ప,థ,2
tesseract/processed,ల,౦,2
tesseract/processed,స,వ,2
tesseract/processed,ఇ,బ,2
tesseract/processed,ా,ల,2
tesseract/processed,ే,ౌ,2
tesseract/processed,ణ, ,2
tesseract/processed,ర,క,2
tesseract/processed,చ,స,2
tesseract/processed,చ,ో,2
tesseract/processed,బ,ర,2
tesseract/processed,డ,ల,2
tesseract/processed,ె,ప,2
tesseract/processed,వ,ు,2
tesseract/processed,ణ,ప,2
tesseract/processed,బ,్,2
tesseract/processed,ు,౮,2
tesseract/processed,ి,ె,2
tesseract/processed,ల,య,2
tesseract/processed,జ,అ,2
tesseract/processed,ో,గ,2
tesseract/processed,ి,ొ,2
tesseract/processed,ట,ి,2
tesseract/processed,మ,ష,2
tesseract/processed,చ,ం,2
tesseract/processed,ఆ,ె,2
tesseract/processed,ో,త,2
tesseract/processed,అ,ల,2
tesseract/processed,చ,ద,2
tesseract/processed,్,చ,2
tesseract/processed,ర,ె,2
tesseract/processed,శ,ా,2
tesseract/processed,ో,స,2
tesseract/processed,మ,ట,2
tesseract/processed,ఉ,ే,2
tesseract/processed,ే,ొ,2
tesseract/processed,గ,ర,2
tesseract/processed,త,ై,2
tesseract/processed,ల,శ,2
tesseract/processed,ట,వ,2
tesseract/processed,స,ే,2
tesseract/processed,వ,ే,2
tesseract/processed,ు,త,2
tesseract/processed,ై,మ,2
tesseract/processed,చ,ఇ,2
